"Name","Sex","Age","Country","Year","Event","Medal","Population","GDP_per_Capita","Density","HappinessRank","HappinessScore","total_medal_amount"
"Andrew Weibrecht","M",24,"USA",2010,"Alpine Skiing Men's Super G","Bronze",321418820,56115.71843,36,18,6.886,635
"Andrew Weibrecht","M",27,"USA",2014,"Alpine Skiing Men's Super G","Silver",321418820,56115.71843,36,18,6.886,635
"Douglas Daniel ""Doug"" Weight","M",31,"USA",2002,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Kerry Pauline Weiland","F",29,"USA",2010,"Ice Hockey Women's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Donna L. Weinbrecht","F",26,"USA",1992,"Freestyle Skiing Women's Moguls","Gold",321418820,56115.71843,36,18,6.886,635
"Ulf Weinstock","M",27,"SWE",1980,"Ice Hockey Men's Ice Hockey","Bronze",9798871,50579.67365,25,9,7.314,428
"Jens Weiflog","M",29,"GER",1994,"Ski Jumping Men's Large Hill, Individual","Gold",81413145,41313.31399,240,15,6.965,386
"Jens Weiflog","M",29,"GER",1994,"Ski Jumping Men's Large Hill, Team","Gold",81413145,41313.31399,240,15,6.965,386
"Gerda Weissensteiner","F",25,"ITA",1994,"Luge Women's Singles","Gold",60802085,29957.80432,206,47,6,191
"Gerda Weissensteiner","F",37,"ITA",2006,"Bobsleigh Women's Two","Bronze",60802085,29957.80432,206,47,6,191
"Andreas Wellinger","M",18,"GER",2014,"Ski Jumping Men's Large Hill, Team","Gold",81413145,41313.31399,240,15,6.965,386
"Mark Ronald Wells","M",22,"USA",1980,"Ice Hockey Men's Ice Hockey","Gold",321418820,56115.71843,36,18,6.886,635
"Kristen Elizabeth ""Krissy"" Wendell (-Pohl)","F",20,"USA",2002,"Ice Hockey Women's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Kristen Elizabeth ""Krissy"" Wendell (-Pohl)","F",24,"USA",2006,"Ice Hockey Women's Ice Hockey","Bronze",321418820,56115.71843,36,18,6.886,635
"Ingrid Wendl (-Turkovi)","F",15,"AUT",1956,"Figure Skating Women's Singles","Bronze",8611088,43774.98517,109,12,7.139,280
"Tobias Wendl","M",26,"GER",2014,"Luge Mixed (Men)'s Doubles","Gold",81413145,41313.31399,240,15,6.965,386
"Tobias Wendl","M",26,"GER",2014,"Luge Mixed Team Relay","Gold",81413145,41313.31399,240,15,6.965,386
"Heidi Weng","F",22,"NOR",2014,"Cross Country Skiing Women's 15 km Skiathlon","Bronze",5195921,74400.36978,15,2,7.594,443
"Anna Ulrika Maria Wennerstrm","F",28,"SWE",2014,"Curling Women's Curling","Silver",9798871,50579.67365,25,9,7.314,428
"John Bradley ""Brad"" Werenka","M",25,"CAN",1994,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Seth Benjamin Wescott","M",29,"USA",2006,"Snowboarding Men's Boardercross","Gold",321418820,56115.71843,36,18,6.886,635
"Seth Benjamin Wescott","M",33,"USA",2010,"Snowboarding Men's Boardercross","Gold",321418820,56115.71843,36,18,6.886,635
"Victor Emanuel Wetterstrm","M",39,"SWE",1924,"Curling Men's Curling","Silver",9798871,50579.67365,25,9,7.314,428
