"Name","Sex","Age","Country","Year","Event","Medal","Population","GDP_per_Capita","Density","HappinessRank","HappinessScore","total_medal_amount"
"Franz Klammer","M",22,"AUT",1976,"Alpine Skiing Men's Downhill","Gold",8611088,43774.98517,109,12,7.139,280
"Lukas Klapfer","M",28,"AUT",2014,"Nordic Combined Men's Team","Bronze",8611088,43774.98517,109,12,7.139,280
"Cynthia Nicole ""Cindy"" Klassen","F",22,"CAN",2002,"Speed Skating Women's 3,000 metres","Bronze",35851774,43248.52991,4,7,7.328,611
"Cynthia Nicole ""Cindy"" Klassen","F",26,"CAN",2006,"Speed Skating Women's 1,000 metres","Silver",35851774,43248.52991,4,7,7.328,611
"Cynthia Nicole ""Cindy"" Klassen","F",26,"CAN",2006,"Speed Skating Women's 1,500 metres","Gold",35851774,43248.52991,4,7,7.328,611
"Cynthia Nicole ""Cindy"" Klassen","F",26,"CAN",2006,"Speed Skating Women's 3,000 metres","Bronze",35851774,43248.52991,4,7,7.328,611
"Cynthia Nicole ""Cindy"" Klassen","F",26,"CAN",2006,"Speed Skating Women's 5,000 metres","Bronze",35851774,43248.52991,4,7,7.328,611
"Cynthia Nicole ""Cindy"" Klassen","F",26,"CAN",2006,"Speed Skating Women's Team Pursuit (6 laps)","Silver",35851774,43248.52991,4,7,7.328,611
"Shannon Kleibrink","F",37,"CAN",2006,"Curling Women's Curling","Bronze",35851774,43248.52991,4,7,7.328,611
"Hvard Klemetsen","M",35,"NOR",2014,"Nordic Combined Men's Team","Gold",5195921,74400.36978,15,2,7.594,443
"Sergey Konstantinovich Klevchenya","M",23,"RUS",1994,"Speed Skating Men's 500 metres","Silver",144096812,9092.580536,9,59,5.81,260
"Sergey Konstantinovich Klevchenya","M",23,"RUS",1994,"Speed Skating Men's 1,000 metres","Bronze",144096812,9092.580536,9,59,5.81,260
"Fyodor Aleksandrovich Klimov","M",23,"RUS",2014,"Figure Skating Mixed Pairs","Silver",144096812,9092.580536,9,59,5.81,260
"Fyodor Aleksandrovich Klimov","M",23,"RUS",2014,"Figure Skating Mixed Team","Gold",144096812,9092.580536,9,59,5.81,260
"Byrle Sherwood Klinck","M",21,"CAN",1956,"Ice Hockey Men's Ice Hockey","Bronze",35851774,43248.52991,4,7,7.328,611
"Christopher Jeffries ""Chris"" Klug","M",29,"USA",2002,"Snowboarding Men's Parallel Giant Slalom","Bronze",321418820,56115.71843,36,18,6.886,635
"Hans Knau","M",26,"AUT",1998,"Alpine Skiing Men's Super G","Silver",8611088,43774.98517,109,12,7.139,280
"Hilary Atwood Knight","F",20,"USA",2010,"Ice Hockey Women's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Hilary Atwood Knight","F",24,"USA",2014,"Ice Hockey Women's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Paul Patrick Knox","M",22,"CAN",1956,"Ice Hockey Men's Ice Hockey","Bronze",35851774,43248.52991,4,7,7.328,611
"Tormod Kre Knutsen","M",28,"NOR",1960,"Nordic Combined Men's Individual","Silver",5195921,74400.36978,15,2,7.594,443
"Tormod Kre Knutsen","M",32,"NOR",1964,"Nordic Combined Men's Individual","Gold",5195921,74400.36978,15,2,7.594,443
"Amelie Kober","F",18,"GER",2006,"Snowboarding Women's Parallel Giant Slalom","Silver",81413145,41313.31399,240,15,6.965,386
"Amelie Kober","F",26,"GER",2014,"Snowboarding Women's Parallel Slalom","Bronze",81413145,41313.31399,240,15,6.965,386
"William Conrad ""Bill"" Koch","M",20,"USA",1976,"Cross Country Skiing Men's 30 kilometres","Silver",321418820,56115.71843,36,18,6.886,635
"Martin Koch","M",24,"AUT",2006,"Ski Jumping Men's Large Hill, Team","Gold",8611088,43774.98517,109,12,7.139,280
"Brigitte Kck","F",27,"AUT",1998,"Snowboarding Women's Giant Slalom","Bronze",8611088,43774.98517,109,12,7.139,280
"Andreas Kofler","M",21,"AUT",2006,"Ski Jumping Men's Large Hill, Individual","Silver",8611088,43774.98517,109,12,7.139,280
"Andreas Kofler","M",21,"AUT",2006,"Ski Jumping Men's Large Hill, Team","Gold",8611088,43774.98517,109,12,7.139,280
"Andreas Kofler","M",25,"AUT",2010,"Ski Jumping Men's Large Hill, Team","Gold",8611088,43774.98517,109,12,7.139,280
"Benny Tord Kohlberg","M",29,"SWE",1984,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",9798871,50579.67365,25,9,7.314,428
"Thomas Khler","M",23,"GER",1964,"Luge Men's Singles","Gold",81413145,41313.31399,240,15,6.965,386
"Michael ""Mike"" Kohn","M",29,"USA",2002,"Bobsleigh Men's Four","Bronze",321418820,56115.71843,36,18,6.886,635
"Arto Ilmari Koivisto","M",28,"FIN",1976,"Cross Country Skiing Men's 15 kilometres","Bronze",5482013,42311.03623,18,1,7.632,426
"Arto Ilmari Koivisto","M",28,"FIN",1976,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",5482013,42311.03623,18,1,7.632,426
"Mikko Sakari Koivu","M",22,"FIN",2006,"Ice Hockey Men's Ice Hockey","Silver",5482013,42311.03623,18,1,7.632,426
"Mikko Sakari Koivu","M",26,"FIN",2010,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Saku Antero Koivu","M",19,"FIN",1994,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Saku Antero Koivu","M",23,"FIN",1998,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Saku Antero Koivu","M",31,"FIN",2006,"Ice Hockey Men's Ice Hockey","Silver",5482013,42311.03623,18,1,7.632,426
"Saku Antero Koivu","M",35,"FIN",2010,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Anssi Einar Koivuranta","M",17,"FIN",2006,"Nordic Combined Men's Team","Bronze",5482013,42311.03623,18,1,7.632,426
"Eero Johannes Kolehmainen","M",33,"FIN",1952,"Cross Country Skiing Men's 50 kilometres","Silver",5482013,42311.03623,18,1,7.632,426
"Leonid ""Leo"" Komarov","M",27,"FIN",2014,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Petri Kontiola","M",29,"FIN",2014,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Christopher ""Chris"" Kontos","M",30,"CAN",1994,"Ice Hockey Men's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Jamie A. Korab","M",26,"CAN",2006,"Curling Men's Curling","Gold",35851774,43248.52991,4,7,7.328,611
"Werner Korff","M",20,"GER",1932,"Ice Hockey Men's Ice Hockey","Bronze",81413145,41313.31399,240,15,6.965,386
"Urpo Pentti Korhonen","M",29,"FIN",1952,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",5482013,42311.03623,18,1,7.632,426
"Nataliya Sergeyevna Korostelyova (Morilova-)","F",28,"RUS",2010,"Cross Country Skiing Women's Team Sprint","Bronze",144096812,9092.580536,9,59,5.81,260
"Lauri Korpikoski","M",27,"FIN",2014,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Lisbeth Korsmo-Berg","F",28,"NOR",1976,"Speed Skating Women's 3,000 metres","Bronze",5195921,74400.36978,15,2,7.594,443
"Jorma Aksel Kortelainen","M",23,"FIN",1956,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Silver",5482013,42311.03623,18,1,7.632,426
"Markku Olavi Koski","M",24,"FIN",2006,"Snowboarding Men's Halfpipe","Bronze",5482013,42311.03623,18,1,7.632,426
"Johann Olav Koss","M",23,"NOR",1992,"Speed Skating Men's 1,500 metres","Gold",5195921,74400.36978,15,2,7.594,443
"Johann Olav Koss","M",23,"NOR",1992,"Speed Skating Men's 10,000 metres","Silver",5195921,74400.36978,15,2,7.594,443
"Johann Olav Koss","M",25,"NOR",1994,"Speed Skating Men's 1,500 metres","Gold",5195921,74400.36978,15,2,7.594,443
"Johann Olav Koss","M",25,"NOR",1994,"Speed Skating Men's 5,000 metres","Gold",5195921,74400.36978,15,2,7.594,443
"Johann Olav Koss","M",25,"NOR",1994,"Speed Skating Men's 10,000 metres","Gold",5195921,74400.36978,15,2,7.594,443
"Carolina Kostner","F",26,"ITA",2014,"Figure Skating Women's Singles","Bronze",60802085,29957.80432,206,47,6,191
"Isolde Kostner (-Perathoner)","F",18,"ITA",1994,"Alpine Skiing Women's Downhill","Bronze",60802085,29957.80432,206,47,6,191
"Isolde Kostner (-Perathoner)","F",18,"ITA",1994,"Alpine Skiing Women's Super G","Bronze",60802085,29957.80432,206,47,6,191
"Isolde Kostner (-Perathoner)","F",26,"ITA",2002,"Alpine Skiing Women's Downhill","Silver",60802085,29957.80432,206,47,6,191
"Roman Sergeyevich Kostomarov","M",29,"RUS",2006,"Figure Skating Mixed Ice Dancing","Gold",144096812,9092.580536,9,59,5.81,260
"Sage Kotsenburg","M",20,"USA",2014,"Snowboarding Men's Slopestyle","Gold",321418820,56115.71843,36,18,6.886,635
"Ilya Valeryevich Kovalchuk","M",18,"RUS",2002,"Ice Hockey Men's Ice Hockey","Bronze",144096812,9092.580536,9,59,5.81,260
"Andrey Nikolayevich Kovalenko","M",27,"RUS",1998,"Ice Hockey Men's Ice Hockey","Silver",144096812,9092.580536,9,59,5.81,260
"Aleksey Vyacheslavovich Kovalyov","M",28,"RUS",2002,"Ice Hockey Men's Ice Hockey","Bronze",144096812,9092.580536,9,59,5.81,260
"Adolf Koxeder","M",29,"AUT",1964,"Bobsleigh Men's Four","Silver",8611088,43774.98517,109,12,7.139,280
"Yelizaveta Aleksandrovna Kozhevnikova","F",20,"RUS",1994,"Freestyle Skiing Women's Moguls","Bronze",144096812,9092.580536,9,59,5.81,260
"Friedrich Hermann Heinrich ""Fritz"" Kraatz","M",22,"SUI",1928,"Ice Hockey Men's Ice Hockey","Bronze",8286976,80945.07922,219,5,7.487,275
"Pontus Sebastian Kraupp","M",28,"SWE",2014,"Curling Men's Curling","Bronze",9798871,50579.67365,25,9,7.314,428
"Alanna Kraus (-Handley)","F",24,"CAN",2002,"Short Track Speed Skating Women's 3,000 metres Relay","Bronze",35851774,43248.52991,4,7,7.328,611
"Alanna Kraus (-Handley)","F",28,"CAN",2006,"Short Track Speed Skating Women's 3,000 metres Relay","Silver",35851774,43248.52991,4,7,7.328,611
"Marinus Kraus","M",22,"GER",2014,"Ski Jumping Men's Large Hill, Team","Gold",81413145,41313.31399,240,15,6.965,386
"Stefan Kraue","M",24,"GER",1992,"Luge Mixed (Men)'s Doubles","Gold",81413145,41313.31399,240,15,6.965,386
"Stefan Kraue","M",26,"GER",1994,"Luge Mixed (Men)'s Doubles","Bronze",81413145,41313.31399,240,15,6.965,386
"Stefan Kraue","M",30,"GER",1998,"Luge Mixed (Men)'s Doubles","Gold",81413145,41313.31399,240,15,6.965,386
"Silke Kraushaar (-Pielach)","F",27,"GER",1998,"Luge Women's Singles","Gold",81413145,41313.31399,240,15,6.965,386
"Silke Kraushaar (-Pielach)","F",31,"GER",2002,"Luge Women's Singles","Bronze",81413145,41313.31399,240,15,6.965,386
"Silke Kraushaar (-Pielach)","F",35,"GER",2006,"Luge Women's Singles","Silver",81413145,41313.31399,240,15,6.965,386
"Igor Aleksandrovich Kravchuk","M",31,"RUS",1998,"Ice Hockey Men's Ice Hockey","Silver",144096812,9092.580536,9,59,5.81,260
"Igor Aleksandrovich Kravchuk","M",35,"RUS",2002,"Ice Hockey Men's Ice Hockey","Bronze",144096812,9092.580536,9,59,5.81,260
"David Kreiner","M",28,"AUT",2010,"Nordic Combined Men's Team","Gold",8611088,43774.98517,109,12,7.139,280
"Kathy Kreiner (-Phillips)","F",18,"CAN",1976,"Alpine Skiing Women's Giant Slalom","Gold",35851774,43248.52991,4,7,7.328,611
"Marion Kreiner","F",28,"AUT",2010,"Snowboarding Women's Parallel Giant Slalom","Bronze",8611088,43774.98517,109,12,7.139,280
"Stefan Kreiner","M",18,"AUT",1992,"Nordic Combined Men's Team","Bronze",8611088,43774.98517,109,12,7.139,280
"Valentin Krempl","M",23,"GER",1928,"Bobsleigh Men's Four/Five","Bronze",81413145,41313.31399,240,15,6.965,386
"Henrik Kristoffersen","M",19,"NOR",2014,"Alpine Skiing Men's Slalom","Bronze",5195921,74400.36978,15,2,7.594,443
"Sergey Vladimirovich Krivokrasov","M",23,"RUS",1998,"Ice Hockey Men's Ice Hockey","Silver",144096812,9092.580536,9,59,5.81,260
"Georg Philip Herzberg Krog","M",20,"NOR",1936,"Speed Skating Men's 500 metres","Silver",5195921,74400.36978,15,2,7.594,443
"Magnus Krog","M",26,"NOR",2014,"Nordic Combined Men's Normal Hill / 10 km, Individual","Bronze",5195921,74400.36978,15,2,7.594,443
"Magnus Krog","M",26,"NOR",2014,"Nordic Combined Men's Team","Gold",5195921,74400.36978,15,2,7.594,443
"Petra Kronberger","F",22,"AUT",1992,"Alpine Skiing Women's Slalom","Gold",8611088,43774.98517,109,12,7.139,280
"Petra Kronberger","F",22,"AUT",1992,"Alpine Skiing Women's Combined","Gold",8611088,43774.98517,109,12,7.139,280
"Carl August Verner Kronlund","M",58,"SWE",1924,"Curling Men's Curling","Silver",9798871,50579.67365,25,9,7.314,428
"Hans Niklas Kronwall","M",25,"SWE",2006,"Ice Hockey Men's Ice Hockey","Gold",9798871,50579.67365,25,9,7.314,428
"Hans Niklas Kronwall","M",33,"SWE",2014,"Ice Hockey Men's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Sari Kristiina Krooks (-Newcomb)","F",30,"FIN",1998,"Ice Hockey Women's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Marcus Viktor Krger","M",23,"SWE",2014,"Ice Hockey Men's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Nikolay Nikolayevich Kruglov","M",24,"RUS",2006,"Biathlon Men's 4 x 7.5 kilometres Relay","Silver",144096812,9092.580536,9,59,5.81,260
"Anzhelika Alekseyevna Krylova","F",24,"RUS",1998,"Figure Skating Mixed Ice Dancing","Silver",144096812,9092.580536,9,59,5.81,260
"Nikita Valeryevich Kryukov","M",24,"RUS",2010,"Cross Country Skiing Men's Sprint","Gold",144096812,9092.580536,9,59,5.81,260
"Nikita Valeryevich Kryukov","M",28,"RUS",2014,"Cross Country Skiing Men's Team Sprint","Silver",144096812,9092.580536,9,59,5.81,260
"Jonathan Kuck","M",19,"USA",2010,"Speed Skating Men's Team Pursuit (8 laps)","Silver",321418820,56115.71843,36,18,6.886,635
"Axel Khn","M",24,"GER",1992,"Bobsleigh Men's Four","Silver",81413145,41313.31399,240,15,6.965,386
"Enrico Khn","M",24,"GER",2002,"Bobsleigh Men's Four","Gold",81413145,41313.31399,240,15,6.965,386
"Friedrich ""Fritz"" Kuhn","M",32,"GER",1952,"Bobsleigh Men's Four","Gold",81413145,41313.31399,240,15,6.965,386
"Antti Sakari Kuisma","M",27,"FIN",2006,"Nordic Combined Men's Team","Bronze",5482013,42311.03623,18,1,7.632,426
"Virpi Katriina Kuitunen (-Sarasvuo)","F",29,"FIN",2006,"Cross Country Skiing Women's Team Sprint","Bronze",5482013,42311.03623,18,1,7.632,426
"Virpi Katriina Kuitunen (-Sarasvuo)","F",33,"FIN",2010,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Bronze",5482013,42311.03623,18,1,7.632,426
"Lasse Juhani Kukkonen","M",24,"FIN",2006,"Ice Hockey Men's Ice Hockey","Silver",5482013,42311.03623,18,1,7.632,426
"Lasse Juhani Kukkonen","M",28,"FIN",2010,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Lasse Juhani Kukkonen","M",32,"FIN",2014,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Galina Alekseyevna Kukleva","F",25,"RUS",1998,"Biathlon Women's 7.5 kilometres Sprint","Gold",144096812,9092.580536,9,59,5.81,260
"Galina Alekseyevna Kukleva","F",25,"RUS",1998,"Biathlon Women's 4 x 7.5 kilometres Relay","Silver",144096812,9092.580536,9,59,5.81,260
"Galina Alekseyevna Kukleva","F",29,"RUS",2002,"Biathlon Women's 4 x 7.5 kilometres Relay","Bronze",144096812,9092.580536,9,59,5.81,260
"Ilya Aleksandrovich Kulik","M",20,"RUS",1998,"Figure Skating Men's Singles","Gold",144096812,9092.580536,9,59,5.81,260
"Patrizia Kummer","F",26,"SUI",2014,"Snowboarding Women's Parallel Giant Slalom","Gold",8286976,80945.07922,219,5,7.487,275
"Christopher ""Chris"" Kunitz","M",34,"CAN",2014,"Ice Hockey Men's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Claudia Knzel-Nystad","F",24,"GER",2002,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Gold",81413145,41313.31399,240,15,6.965,386
"Claudia Knzel-Nystad","F",28,"GER",2006,"Cross Country Skiing Women's Sprint","Silver",81413145,41313.31399,240,15,6.965,386
"Claudia Knzel-Nystad","F",28,"GER",2006,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Silver",81413145,41313.31399,240,15,6.965,386
"Claudia Knzel-Nystad","F",32,"GER",2010,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Silver",81413145,41313.31399,240,15,6.965,386
"Claudia Knzel-Nystad","F",32,"GER",2010,"Cross Country Skiing Women's Team Sprint","Gold",81413145,41313.31399,240,15,6.965,386
"Claudia Knzel-Nystad","F",36,"GER",2014,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Bronze",81413145,41313.31399,240,15,6.965,386
"Larisa Nikolayevna Kurkina","F",32,"RUS",2006,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Gold",144096812,9092.580536,9,59,5.81,260
"Jari Pekka Kurri","M",37,"FIN",1998,"Ice Hockey Men's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Kevin Kuske","M",23,"GER",2002,"Bobsleigh Men's Four","Gold",81413145,41313.31399,240,15,6.965,386
"Kevin Kuske","M",27,"GER",2006,"Bobsleigh Men's Two","Gold",81413145,41313.31399,240,15,6.965,386
"Kevin Kuske","M",27,"GER",2006,"Bobsleigh Men's Four","Gold",81413145,41313.31399,240,15,6.965,386
"Kevin Kuske","M",31,"GER",2010,"Bobsleigh Men's Two","Gold",81413145,41313.31399,240,15,6.965,386
"Kevin Kuske","M",31,"GER",2010,"Bobsleigh Men's Four","Silver",81413145,41313.31399,240,15,6.965,386
"Heinz Ernst Kuttin","M",21,"AUT",1992,"Ski Jumping Men's Large Hill, Individual","Bronze",8611088,43774.98517,109,12,7.139,280
"Heinz Ernst Kuttin","M",21,"AUT",1992,"Ski Jumping Men's Large Hill, Team","Silver",8611088,43774.98517,109,12,7.139,280
"Heinz Ernst Kuttin","M",23,"AUT",1994,"Ski Jumping Men's Large Hill, Team","Bronze",8611088,43774.98517,109,12,7.139,280
"Mika Juhani Kuusisto","M",24,"FIN",1992,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Bronze",5482013,42311.03623,18,1,7.632,426
"Eirik Kvalfoss","M",24,"NOR",1984,"Biathlon Men's 10 kilometres Sprint","Gold",5195921,74400.36978,15,2,7.594,443
"Eirik Kvalfoss","M",24,"NOR",1984,"Biathlon Men's 20 kilometres","Bronze",5195921,74400.36978,15,2,7.594,443
"Eirik Kvalfoss","M",24,"NOR",1984,"Biathlon Men's 4 x 7.5 kilometres Relay","Silver",5195921,74400.36978,15,2,7.594,443
"Oleg Vladimirovich Kvasha","M",23,"RUS",2002,"Ice Hockey Men's Ice Hockey","Bronze",144096812,9092.580536,9,59,5.81,260
"Michelle Wingshan Kwan (-Pell)","F",17,"USA",1998,"Figure Skating Women's Singles","Silver",321418820,56115.71843,36,18,6.886,635
"Michelle Wingshan Kwan (-Pell)","F",21,"USA",2002,"Figure Skating Women's Singles","Bronze",321418820,56115.71843,36,18,6.886,635
"Anne Maria Kyllnen","F",26,"FIN",2014,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Silver",5482013,42311.03623,18,1,7.632,426
"Risto Juhani Laakkonen","M",24,"FIN",1992,"Ski Jumping Men's Large Hill, Team","Gold",5482013,42311.03623,18,1,7.632,426
"Antti Akseli Laaksonen","M",32,"FIN",2006,"Ice Hockey Men's Ice Hockey","Silver",5482013,42311.03623,18,1,7.632,426
"Emma Kriistina Laaksonen-Terho","F",16,"FIN",1998,"Ice Hockey Women's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Emma Kriistina Laaksonen-Terho","F",28,"FIN",2010,"Ice Hockey Women's Ice Hockey","Bronze",5482013,42311.03623,18,1,7.632,426
"Philip William ""Phil"" LaBatte","M",24,"USA",1936,"Ice Hockey Men's Ice Hockey","Bronze",321418820,56115.71843,36,18,6.886,635
"Charline ""Charlie"" Labont","F",23,"CAN",2006,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Charline ""Charlie"" Labont","F",27,"CAN",2010,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Charline ""Charlie"" Labont","F",31,"CAN",2014,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Mark Andrew Lackie","M",24,"CAN",1992,"Short Track Speed Skating Men's 5,000 metres Relay","Silver",35851774,43248.52991,4,7,7.328,611
"Alphonse Albert LaCroix","M",26,"USA",1924,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Scotty Lago","M",22,"USA",2010,"Snowboarding Men's Halfpipe","Bronze",321418820,56115.71843,36,18,6.886,635
"Matti Ensio Lhde","M",24,"FIN",1936,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",5482013,42311.03623,18,1,7.632,426
"Krista Lhteenmki (-Prmkoski)","F",23,"FIN",2014,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Silver",5482013,42311.03623,18,1,7.632,426
"Janne Petteri Lahtela","M",23,"FIN",1998,"Freestyle Skiing Men's Moguls","Silver",5482013,42311.03623,18,1,7.632,426
"Janne Petteri Lahtela","M",27,"FIN",2002,"Freestyle Skiing Men's Moguls","Gold",5482013,42311.03623,18,1,7.632,426
"Erkki Juhani Laine","M",30,"FIN",1988,"Ice Hockey Men's Ice Hockey","Silver",5482013,42311.03623,18,1,7.632,426
"Kari Juhani Laitinen","M",23,"FIN",1988,"Ice Hockey Men's Ice Hockey","Silver",5482013,42311.03623,18,1,7.632,426
"Mika Antero Laitinen","M",18,"FIN",1992,"Ski Jumping Men's Large Hill, Team","Gold",5482013,42311.03623,18,1,7.632,426
"Samppa Kalevi Lajunen","M",18,"FIN",1998,"Nordic Combined Men's Team","Silver",5482013,42311.03623,18,1,7.632,426
"Samppa Kalevi Lajunen","M",18,"FIN",1998,"Nordic Combined Men's Individual","Silver",5482013,42311.03623,18,1,7.632,426
"Samppa Kalevi Lajunen","M",22,"FIN",2002,"Nordic Combined Men's Team","Gold",5482013,42311.03623,18,1,7.632,426
"Samppa Kalevi Lajunen","M",22,"FIN",2002,"Nordic Combined Men's Individual","Gold",5482013,42311.03623,18,1,7.632,426
"Samppa Kalevi Lajunen","M",22,"FIN",2002,"Nordic Combined Men's Sprint","Gold",5482013,42311.03623,18,1,7.632,426
"Kim Lamarre","F",25,"CAN",2014,"Freestyle Skiing Women's Slopestyle","Bronze",35851774,43248.52991,4,7,7.328,611
"Nathalie Brigitte Lambert","F",28,"CAN",1992,"Short Track Speed Skating Women's 3,000 metres Relay","Gold",35851774,43248.52991,4,7,7.328,611
"Nathalie Brigitte Lambert","F",30,"CAN",1994,"Short Track Speed Skating Women's 1,000 metres","Silver",35851774,43248.52991,4,7,7.328,611
"Nathalie Brigitte Lambert","F",30,"CAN",1994,"Short Track Speed Skating Women's 3,000 metres Relay","Silver",35851774,43248.52991,4,7,7.328,611
"Stphane Lambiel","M",20,"SUI",2006,"Figure Skating Men's Singles","Silver",8286976,80945.07922,219,5,7.487,275
"Pentti Johannes Lammio","M",28,"FIN",1948,"Speed Skating Men's 10,000 metres","Bronze",5482013,42311.03623,18,1,7.632,426
"Jocelyne Nicole Lamoureux","F",20,"USA",2010,"Ice Hockey Women's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Jocelyne Nicole Lamoureux","F",24,"USA",2014,"Ice Hockey Women's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Monique Edith Lamoureux (-Kolls)","F",20,"USA",2010,"Ice Hockey Women's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Monique Edith Lamoureux (-Kolls)","F",24,"USA",2014,"Ice Hockey Women's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Thomas Lamparter","M",27,"SUI",2006,"Bobsleigh Men's Four","Bronze",8286976,80945.07922,219,5,7.487,275
"James Ernest ""Jim"" Lamy","M",27,"USA",1956,"Bobsleigh Men's Four","Bronze",321418820,56115.71843,36,18,6.886,635
"Dominik Landertinger","M",22,"AUT",2010,"Biathlon Men's 4 x 7.5 kilometres Relay","Silver",8611088,43774.98517,109,12,7.139,280
"Dominik Landertinger","M",26,"AUT",2014,"Biathlon Men's 10 kilometres Sprint","Silver",8611088,43774.98517,109,12,7.139,280
"Dominik Landertinger","M",26,"AUT",2014,"Biathlon Men's 4 x 7.5 kilometres Relay","Bronze",8611088,43774.98517,109,12,7.139,280
"Gabriel Ingemar John Landeskog","M",21,"SWE",2014,"Ice Hockey Men's Ice Hockey","Silver",9798871,50579.67365,25,9,7.314,428
"Andr Lange","M",28,"GER",2002,"Bobsleigh Men's Four","Gold",81413145,41313.31399,240,15,6.965,386
"Andr Lange","M",32,"GER",2006,"Bobsleigh Men's Two","Gold",81413145,41313.31399,240,15,6.965,386
"Andr Lange","M",32,"GER",2006,"Bobsleigh Men's Four","Gold",81413145,41313.31399,240,15,6.965,386
"Andr Lange","M",36,"GER",2010,"Bobsleigh Men's Two","Gold",81413145,41313.31399,240,15,6.965,386
"Andr Lange","M",36,"GER",2010,"Bobsleigh Men's Four","Silver",81413145,41313.31399,240,15,6.965,386
"Christoph Langen","M",29,"GER",1992,"Bobsleigh Men's Two","Bronze",81413145,41313.31399,240,15,6.965,386
"Christoph Langen","M",35,"GER",1998,"Bobsleigh Men's Two","Bronze",81413145,41313.31399,240,15,6.965,386
"Christoph Langen","M",35,"GER",1998,"Bobsleigh Men's Four","Gold",81413145,41313.31399,240,15,6.965,386
"Christoph Langen","M",39,"GER",2002,"Bobsleigh Men's Two","Gold",81413145,41313.31399,240,15,6.965,386
"Jamie Craig Langenbrunner","M",34,"USA",2010,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"John Arthur ""Art"" Langley","M",27,"USA",1924,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Terje Bjarte Langli","M",27,"NOR",1992,"Cross Country Skiing Men's 30 kilometres","Bronze",5195921,74400.36978,15,2,7.594,443
"Terje Bjarte Langli","M",27,"NOR",1992,"Cross Country Skiing Men's 4 x 10 kilometres Relay","Gold",5195921,74400.36978,15,2,7.594,443
"Lloyd Langlois","M",31,"CAN",1994,"Freestyle Skiing Men's Aerials","Bronze",35851774,43248.52991,4,7,7.328,611
"Steven Daniel ""Steve"" Langton","M",30,"USA",2014,"Bobsleigh Men's Two","Bronze",321418820,56115.71843,36,18,6.886,635
"Steven Daniel ""Steve"" Langton","M",30,"USA",2014,"Bobsleigh Men's Four","Bronze",321418820,56115.71843,36,18,6.886,635
"Hans Peter Lanig","M",24,"GER",1960,"Alpine Skiing Men's Downhill","Silver",81413145,41313.31399,240,15,6.965,386
